timestamp,distance,rx_power,fp_power
0,3.77,-85.35,-94.76
227,4.02,-88.22,-99.45
328,4.25,-88.45,-92.22
431,4.57,-89.69,-104.71
554,4.52,-87.97,-93.65
657,4.67,-85.45,-92.87
759,5.26,-86.29,-94.73
882,4.79,-88.52,-97.41
1211,4.8,-86.37,-93.82
1312,4.81,-86.19,-93.68
1415,4.8,-84.86,-92.74
1538,4.72,-84.63,-93.13
1642,4.57,-85.8,-92.82
1744,4.58,-87.69,-93.23
1867,4.5,-89.0,-94.81
1968,4.45,-88.93,-94.68
2071,4.32,-86.52,-94.27
2196,4.19,-85.66,-92.55
2296,3.91,-85.35,-95.1
2523,3.54,-82.82,-91.63
2624,3.52,-83.24,-92.44
2727,3.46,-82.33,-92.89
2852,3.3,-82.56,-92.09
2953,3.31,-82.98,-93.17
3054,3.18,-83.76,-93.78
3179,3.07,-82.55,-92.4
3280,2.94,-82.67,-92.41
3383,2.84,-81.99,-92.8
3507,2.71,-81.41,-91.99
3608,2.62,-82.58,-93.38
3711,2.62,-81.46,-92.61
3835,2.38,-83.85,-93.34
3936,2.32,-80.86,-91.62
