timestamp,distance,rx_power,fp_power
0,3.81,-83.8,-91.87
101,3.64,-86.66,-97.79
207,4.15,-86.83,-94.29
328,4.39,-91.52,-96.89
429,4.87,-91.88,-101.49
535,4.72,-88.3,-97.27
656,4.81,-89.87,-97.68
758,4.87,-89.7,-96.9
864,4.85,-87.39,-92.84
983,5.02,-84.98,-92.37
1086,4.93,-83.09,-92.3
1192,4.84,-84.16,-92.54
1311,4.86,-83.65,-93.43
1414,4.76,-86.15,-93.95
1520,4.59,-85.85,-93.03
1640,4.54,-85.99,-93.16
1741,4.44,-84.93,-92.31
1848,4.31,-83.96,-92.59
1968,4.25,-88.15,-92.43
2070,4.17,-86.03,-92.93
2296,3.78,-84.27,-92.01
2397,3.55,-84.11,-92.01
2505,3.42,-82.76,-94.82
2624,3.58,-82.71,-92.06
2725,3.4,-81.5,-92.59
2834,3.14,-81.72,-91.69
2952,3.11,-82.99,-93.11
3053,3.0,-82.76,-92.39
3161,2.75,-83.06,-92.08
3281,2.68,-82.54,-91.76
3382,2.59,-80.94,-91.54
3490,2.39,-81.98,-92.08
3609,2.4,-81.35,-91.74
3710,2.33,-80.97,-91.86
3819,2.04,-81.12,-91.86
3938,2.11,-81.62,-93.16
4039,1.96,-81.31,-92.21
