timestamp,distance,rx_power,fp_power
0,3.96,-85.92,-92.89
113,4.55,-89.55,-95.84
204,5.16,-88.67,-93.66
328,4.52,-91.26,-107.31
441,4.92,-88.55,-96.8
532,4.64,-87.66,-92.23
656,5.07,-84.3,-92.71
769,4.7,-84.59,-93.59
860,4.79,-86.09,-95.73
984,4.6,-86.39,-95.94
1097,4.49,-88.11,-93.2
1188,4.48,-87.77,-93.83
1312,4.51,-88.37,-94.56
1426,4.47,-88.68,-95.06
1516,4.28,-89.36,-96.54
1640,4.09,-84.56,-92.17
1753,3.85,-85.7,-92.4
1968,3.48,-83.93,-92.84
2082,3.65,-82.25,-91.55
2171,3.48,-82.76,-92.4
2296,3.17,-83.88,-92.93
2409,2.98,-82.94,-93.74
2500,2.88,-82.19,-92.11
2625,2.63,-81.89,-92.16
2738,2.54,-81.9,-92.41
2827,2.37,-80.14,-91.95
2952,2.22,-80.87,-91.73
3065,2.11,-80.42,-91.56
3156,1.95,-80.38,-95.49
3281,1.78,-79.67,-92.82
3394,1.6,-80.46,-92.04
3484,1.47,-80.3,-92.25
3608,1.34,-80.42,-92.16
3721,1.26,-80.32,-91.47
3812,1.15,-80.8,-92.69
3937,1.01,-80.05,-91.35
4050,0.94,-80.97,-91.76
