timestamp,distance,rx_power,fp_power
0,3.96,-82.8,-99.57
125,4.04,-84.26,-103.11
227,4.11,-87.21,-93.0
328,4.93,-88.79,-92.95
453,4.89,-90.03,-93.97
554,5.25,-90.97,-102.36
656,5.17,-89.3,-99.72
781,5.0,-88.01,-94.19
882,5.04,-86.69,-93.75
984,4.94,-85.74,-91.85
1109,4.94,-85.27,-93.21
1210,4.97,-82.83,-91.97
1312,5.07,-84.09,-93.75
1437,4.8,-87.06,-99.26
1538,4.78,-84.58,-93.01
1765,4.58,-86.43,-93.12
1868,4.51,-84.06,-92.02
1969,4.46,-86.26,-91.6
2093,4.24,-85.07,-93.1
2194,4.24,-85.3,-92.2
2421,3.87,-85.11,-92.91
2522,3.62,-84.15,-93.99
2624,3.51,-82.36,-91.85
2749,3.38,-81.76,-91.75
2850,3.38,-81.73,-92.96
2952,3.63,-85.37,-96.32
3077,3.18,-81.85,-94.27
3178,2.99,-81.66,-92.93
3280,2.7,-82.02,-91.69
3405,2.53,-81.23,-91.47
3507,2.28,-81.13,-92.17
3609,2.15,-80.41,-91.66
3732,2.07,-80.93,-92.33
3834,1.96,-82.06,-92.67
4062,1.93,-80.54,-93.58
