timestamp,distance,rx_power,fp_power
0,4.19,-85.76,-97.6
75,3.88,-84.17,-92.81
177,3.83,-88.7,-97.5
301,4.18,-86.51,-93.06
404,4.38,-89.71,-101.17
506,4.99,-90.55,-94.88
629,4.85,-89.32,-93.46
731,4.81,-90.02,-97.49
833,5.17,-88.07,-92.73
1286,4.74,-84.34,-92.07
1387,4.71,-85.59,-94.25
1614,4.52,-86.15,-99.42
1715,4.53,-85.15,-92.87
1817,4.49,-85.36,-92.29
1942,4.49,-86.33,-92.38
2043,4.44,-87.23,-92.37
2270,4.35,-88.08,-92.79
2371,4.16,-85.92,-93.32
2473,3.85,-88.4,-93.87
2598,3.57,-82.96,-92.95
2699,3.52,-82.0,-91.53
2801,3.49,-80.43,-91.96
2925,3.44,-82.74,-93.37
3027,3.35,-81.48,-92.42
3129,3.36,-82.59,-91.65
3254,3.13,-82.4,-91.94
3356,3.1,-82.38,-92.01
3459,2.88,-80.78,-94.93
3584,2.76,-81.1,-92.12
3685,2.62,-81.27,-92.65
3912,2.39,-81.5,-91.41
4013,2.26,-81.44,-92.67
