timestamp,distance,rx_power,fp_power
0,3.75,-82.47,-91.86
125,4.06,-86.96,-100.53
226,4.21,-85.66,-91.82
329,4.31,-88.06,-94.2
555,5.2,-90.73,-97.53
656,5.05,-88.62,-97.09
1109,4.96,-88.21,-95.58
1210,4.85,-84.75,-92.46
1538,4.88,-84.76,-93.02
1641,4.79,-84.07,-91.83
1766,4.74,-85.99,-92.08
1867,4.62,-84.67,-93.47
1970,4.78,-89.85,-97.88
2095,4.68,-87.96,-93.58
2196,4.49,-85.58,-91.84
2299,4.43,-84.27,-91.84
2424,4.36,-86.69,-92.31
2526,4.19,-88.38,-94.81
2627,4.1,-87.61,-93.76
2752,3.8,-84.63,-93.54
2853,3.52,-83.55,-91.88
2956,3.5,-83.36,-91.71
3081,3.41,-83.76,-93.52
3180,3.32,-83.53,-92.2
3410,3.15,-82.96,-91.68
3508,3.05,-81.41,-92.43
3611,2.98,-82.22,-92.95
3738,2.87,-82.15,-92.03
3837,2.67,-82.37,-91.78
3938,2.54,-82.64,-92.68
