timestamp,distance,rx_power,fp_power
0,3.73,-84.3,-92.21
102,4.21,-88.02,-98.8
228,4.23,-89.61,-94.88
329,4.35,-91.08,-103.08
557,4.4,-87.91,-101.71
658,4.4,-85.31,-101.65
760,4.47,-83.7,-95.66
883,5.07,-84.74,-92.0
986,5.06,-84.18,-92.85
1088,4.95,-89.36,-96.83
1211,4.88,-86.4,-92.2
1314,4.94,-87.28,-93.54
1416,4.91,-84.99,-93.73
1868,4.55,-88.41,-94.66
1969,4.44,-87.86,-92.56
2072,4.27,-86.44,-92.0
2197,3.95,-84.59,-92.9
2298,3.75,-82.79,-92.41
2400,3.55,-84.09,-92.19
2727,3.41,-82.17,-92.79
2852,3.35,-82.72,-93.54
2954,3.25,-84.69,-93.13
3281,2.91,-82.9,-92.68
3384,2.78,-82.82,-96.35
3508,2.65,-82.02,-92.61
3609,2.51,-81.54,-91.82
3712,2.38,-81.6,-91.91
3836,2.37,-80.5,-92.27
3937,2.42,-80.25,-92.47
