timestamp,distance,rx_power,fp_power
0,4.03,-84.47,-91.64
126,4.74,-89.03,-98.88
227,4.73,-88.63,-93.17
328,4.65,-90.97,-101.9
454,4.63,-87.37,-95.76
555,4.79,-88.18,-96.45
657,4.99,-87.21,-95.31
782,4.77,-83.45,-92.61
884,4.64,-84.45,-91.76
986,4.76,-84.95,-93.52
1111,4.73,-87.14,-92.34
1212,4.79,-86.61,-97.46
1315,4.74,-85.84,-92.2
1439,4.64,-86.08,-95.46
1541,4.63,-87.68,-92.42
1767,4.4,-86.74,-92.78
1868,4.29,-86.56,-93.04
1971,4.05,-89.02,-94.23
2094,3.72,-84.17,-92.74
2197,3.5,-84.75,-91.29
2299,3.49,-82.05,-91.58
2424,3.25,-82.39,-92.44
2525,3.09,-83.57,-92.76
2627,2.97,-82.31,-92.68
2751,2.85,-83.35,-92.03
2852,2.7,-82.22,-92.03
2954,2.59,-81.06,-91.74
3284,2.43,-81.94,-92.86
3409,2.33,-80.8,-91.65
3510,2.11,-80.38,-92.59
3611,1.94,-79.86,-92.17
3737,1.75,-80.12,-91.61
3838,1.56,-80.87,-92.3
4064,1.34,-80.81,-92.6
