timestamp,distance,rx_power,fp_power
0,4.52,-88.78,-93.88
88,4.7,-90.83,-97.08
191,5.24,-89.64,-99.43
327,4.75,-87.68,-101.34
417,4.88,-89.12,-96.99
518,4.94,-88.9,-93.52
655,5.05,-86.75,-94.4
744,5.11,-87.42,-93.9
847,4.85,-87.1,-92.75
984,4.92,-88.34,-97.58
1312,4.76,-85.93,-92.22
1400,4.75,-85.5,-92.27
1503,4.54,-83.54,-91.87
1641,4.6,-85.12,-92.5
1729,4.48,-88.0,-92.74
1830,4.28,-86.79,-92.83
1968,4.14,-86.61,-93.67
2056,3.97,-86.53,-95.25
2297,3.76,-84.8,-94.36
2385,3.69,-84.58,-92.09
2486,3.69,-81.85,-91.24
2624,3.35,-80.81,-91.89
2712,3.21,-81.95,-91.75
2815,3.22,-82.85,-93.02
2952,3.02,-80.62,-92.62
3041,2.86,-84.58,-93.54
3142,2.69,-82.49,-91.31
3369,2.45,-79.71,-92.2
3470,2.34,-81.67,-91.7
3609,2.17,-80.55,-91.55
3697,2.16,-80.47,-92.24
3798,2.03,-81.19,-92.77
3936,2.16,-82.12,-92.82
