timestamp,distance,rx_power,fp_power
0,3.37,-82.64,-93.0
75,3.64,-82.54,-91.84
328,4.01,-85.06,-91.92
403,3.94,-86.3,-97.83
506,4.68,-87.6,-94.93
630,4.98,-87.0,-93.16
731,4.58,-89.8,-101.32
834,5.1,-87.96,-95.74
959,4.95,-88.18,-93.48
1061,5.31,-87.48,-91.99
1287,4.8,-86.69,-97.56
1388,4.88,-84.72,-94.17
1616,4.69,-85.26,-96.55
1717,4.64,-85.11,-96.41
1818,4.71,-84.49,-93.33
1945,4.51,-85.34,-92.39
2046,4.47,-86.98,-94.41
2149,4.35,-88.07,-93.65
2273,4.14,-86.81,-97.38
2374,4.11,-84.88,-93.44
2477,3.91,-84.56,-92.15
2805,3.49,-82.99,-92.84
2929,3.47,-83.07,-91.73
3030,3.26,-82.4,-91.94
3257,3.09,-81.95,-92.72
3359,3.03,-83.09,-92.1
3461,2.85,-81.51,-91.95
3687,2.64,-82.21,-91.54
3913,2.5,-81.18,-91.78
4015,2.27,-81.99,-92.78
