timestamp,distance,rx_power,fp_power
0,3.73,-84.08,-92.95
101,3.77,-83.69,-92.75
204,3.94,-86.53,-92.55
328,4.36,-90.89,-97.3
430,4.64,-89.35,-96.44
531,4.73,-89.17,-93.39
758,4.64,-89.73,-102.6
859,4.8,-89.17,-101.87
984,4.89,-86.25,-94.19
1087,4.71,-86.36,-92.87
1188,4.75,-83.93,-93.21
1313,4.72,-85.69,-100.03
1414,4.7,-85.09,-92.04
1517,4.64,-85.69,-92.16
1641,4.43,-84.46,-91.56
1743,4.43,-86.46,-92.92
1844,4.5,-86.3,-92.18
1969,4.42,-85.9,-93.55
2070,4.25,-87.01,-92.88
2297,3.88,-85.91,-93.07
2399,3.69,-82.74,-93.3
2501,3.57,-82.5,-92.05
2625,3.5,-83.04,-92.52
2726,3.45,-83.53,-92.22
2828,3.27,-83.67,-92.9
3055,3.12,-82.46,-92.42
3156,2.98,-82.04,-92.53
3281,2.89,-83.03,-91.94
3382,2.8,-84.15,-92.36
3484,2.74,-81.66,-93.22
3610,2.63,-82.11,-91.32
3710,2.48,-82.69,-92.96
3812,2.38,-80.66,-92.52
3937,2.4,-81.34,-92.33
4038,2.15,-80.17,-94.69
