timestamp,distance,rx_power,fp_power
0,4.04,-82.57,-92.73
103,4.07,-82.52,-93.02
227,4.05,-82.6,-92.88
329,4.03,-82.42,-92.09
430,4.05,-82.52,-92.69
555,4.05,-82.49,-92.08
656,4.04,-82.1,-92.3
759,4.05,-82.71,-92.56
883,4.06,-82.56,-92.25
1416,4.09,-82.29,-92.71
1539,4.04,-82.86,-93.18
1640,4.07,-82.84,-92.64
1743,4.06,-82.28,-92.4
1868,4.07,-82.3,-92.34
1969,4.06,-82.31,-92.82
2296,4.11,-82.29,-92.6
2398,4.06,-82.51,-92.52
2524,4.05,-82.24,-92.79
2625,4.05,-82.01,-92.1
2728,4.05,-82.14,-92.25
2852,4.06,-81.66,-91.86
2953,4.07,-82.26,-92.54
3056,4.06,-81.6,-92.22
3281,4.09,-82.52,-92.82
3508,4.11,-82.08,-93.05
3609,4.06,-83.07,-93.55
3836,4.07,-82.99,-93.25
3937,4.08,-83.0,-93.39
4040,4.09,-82.88,-92.26
