timestamp,distance,rx_power,fp_power
0,2.81,-80.85,-100.25
102,2.86,-81.21,-103.21
226,3.06,-81.05,-93.09
328,3.12,-80.64,-97.2
430,2.68,-81.6,-106.23
555,3.01,-80.99,-97.87
657,3.22,-81.41,-93.3
758,3.42,-80.41,-106.58
883,2.96,-80.54,-95.56
984,3.17,-81.62,-97.4
1086,3.17,-81.37,-99.46
1211,3.23,-81.29,-95.97
1312,3.12,-80.77,-97.1
1539,3.2,-80.87,-97.32
1640,2.68,-81.58,-105.12
1742,3.72,-81.63,-93.75
1868,3.11,-81.93,-97.37
1969,3.01,-81.31,-94.94
2072,3.01,-82.03,-100.15
2196,3.01,-81.15,-99.78
2297,3.08,-80.9,-96.24
2399,3.12,-81.23,-96.1
2524,3.11,-81.25,-94.75
2625,3.12,-81.94,-95.71
2727,3.13,-81.41,-96.35
2852,3.09,-81.73,-97.51
2953,3.08,-81.25,-96.33
3055,3.06,-81.94,-96.81
3179,3.12,-81.71,-101.51
3281,3.04,-81.52,-98.62
3383,3.07,-81.62,-96.13
3507,3.05,-80.6,-93.27
3609,2.97,-80.36,-93.09
3836,3.09,-80.99,-92.19
3937,3.28,-81.05,-92.13
