timestamp,distance,rx_power,fp_power
0,2.97,-80.35,-96.32
114,2.97,-80.55,-95.65
203,2.89,-80.48,-97.28
328,2.53,-80.73,-97.71
441,2.58,-81.43,-100.48
531,2.56,-80.82,-100.46
656,3.12,-80.68,-97.29
770,2.54,-80.26,-101.16
859,2.57,-80.42,-96.61
1097,2.66,-81.37,-96.36
1312,3.11,-81.4,-100.43
1425,2.76,-80.81,-91.87
1515,2.89,-80.37,-97.78
1640,2.94,-81.1,-97.76
1753,2.63,-80.63,-95.95
1843,2.94,-81.6,-98.3
1968,2.59,-81.23,-103.02
2081,2.91,-81.2,-98.96
2171,2.76,-81.35,-92.6
2296,2.57,-80.81,-96.1
2410,2.96,-80.23,-91.56
2500,2.77,-81.31,-91.79
2624,2.78,-81.2,-98.27
2737,3.19,-80.63,-92.41
2827,2.77,-80.8,-91.77
2952,2.6,-80.5,-106.22
3065,2.98,-80.88,-107.18
3155,2.79,-80.97,-91.73
3280,3.12,-81.59,-99.99
3394,2.74,-81.45,-97.55
3608,2.6,-84.35,-98.52
3811,2.99,-81.41,-106.16
3936,2.96,-80.89,-97.03
