timestamp,distance,rx_power,fp_power
0,5.08,-84.97,-92.71
88,5.06,-84.83,-92.84
190,5.08,-85.22,-92.91
328,5.05,-86.24,-92.95
656,5.08,-84.45,-92.01
985,5.07,-84.64,-92.64
1313,5.06,-85.99,-93.93
1402,5.1,-85.62,-93.09
1504,5.08,-85.46,-93.58
1641,5.07,-85.26,-93.3
1731,5.05,-86.31,-93.32
1969,5.05,-85.74,-93.51
2058,5.07,-86.24,-93.92
2160,5.06,-85.82,-92.92
2297,5.08,-85.52,-93.11
2386,5.1,-85.23,-93.19
2488,5.07,-85.13,-93.05
2625,5.07,-86.32,-93.58
2714,5.08,-85.59,-93.37
2816,5.09,-85.18,-92.89
2953,5.07,-85.9,-94.01
3042,5.07,-86.12,-93.7
3144,5.08,-85.98,-93.19
3281,5.08,-85.96,-92.99
3371,5.06,-85.46,-93.05
3472,5.09,-85.55,-93.47
3609,5.09,-85.39,-93.74
3699,5.1,-84.57,-93.2
3801,5.09,-86.09,-93.85
3937,5.06,-85.1,-92.63
