timestamp,distance,rx_power,fp_power
0,5.05,-85.36,-92.98
137,5.07,-84.49,-92.31
226,5.08,-85.18,-92.57
328,5.08,-84.85,-92.18
465,5.06,-84.98,-92.52
554,5.08,-84.79,-92.3
793,5.06,-85.07,-92.04
882,5.06,-85.01,-92.18
984,5.09,-85.41,-93.0
1121,5.06,-84.63,-92.31
1210,5.06,-85.34,-93.07
1312,5.09,-84.4,-92.65
1449,5.09,-84.34,-92.34
1538,5.1,-84.91,-92.38
1640,5.07,-85.28,-92.67
1777,5.09,-84.81,-92.29
1866,5.08,-85.22,-93.32
1968,5.05,-85.26,-92.41
2106,5.08,-84.86,-92.29
2194,5.09,-85.05,-92.29
2296,5.1,-85.73,-93.39
2433,5.07,-85.25,-92.5
2522,5.08,-84.61,-92.12
2624,5.08,-84.83,-92.43
2762,5.07,-84.89,-91.99
2850,5.06,-84.77,-92.47
3089,5.07,-84.75,-92.24
3178,5.07,-84.86,-93.08
3280,5.05,-85.48,-93.0
3418,5.07,-85.38,-93.19
3506,5.08,-84.81,-92.32
3608,5.08,-84.95,-92.55
3746,5.05,-85.27,-92.36
3834,5.08,-84.98,-92.99
3936,5.08,-85.33,-92.78
