timestamp,distance,rx_power,fp_power
0,4.04,-81.72,-92.31
101,4.07,-81.95,-92.5
202,4.08,-82.36,-92.17
327,4.03,-82.03,-92.04
428,4.02,-82.07,-92.11
531,4.03,-82.88,-93.15
655,4.03,-82.65,-93.45
757,4.03,-82.44,-92.71
984,4.04,-82.55,-92.41
1085,4.06,-82.28,-92.0
1188,4.03,-82.71,-93.57
1313,4.03,-82.42,-92.45
1414,4.04,-82.23,-91.86
1517,4.06,-82.67,-91.9
1640,4.04,-83.05,-92.57
1741,4.07,-82.16,-91.8
1844,4.06,-82.77,-91.96
1969,4.02,-81.93,-91.87
2070,4.05,-82.81,-92.98
2296,4.03,-82.02,-91.98
2398,4.0,-82.02,-91.91
2499,4.09,-83.12,-92.04
2625,4.06,-82.25,-92.61
2726,4.03,-82.54,-92.74
2827,4.05,-82.22,-92.63
2952,4.05,-82.64,-91.69
3053,4.07,-82.87,-92.1
3156,4.03,-82.5,-92.0
3280,4.04,-82.66,-92.03
3381,4.06,-82.64,-91.87
3484,4.05,-82.48,-91.65
3608,4.04,-82.15,-92.3
3709,4.07,-82.3,-92.21
3812,4.07,-83.32,-92.65
