timestamp,distance,rx_power,fp_power
0,4.08,-82.59,-93.08
101,4.06,-82.48,-92.96
227,4.07,-82.17,-92.81
327,4.1,-82.52,-92.62
556,4.07,-82.27,-92.53
655,4.1,-82.37,-92.84
758,4.09,-82.39,-93.0
884,4.03,-81.97,-92.63
983,4.08,-82.55,-93.02
1086,4.09,-82.37,-92.45
1212,4.06,-82.05,-92.5
1311,4.09,-82.13,-92.59
1414,4.04,-82.31,-92.52
1541,4.01,-82.2,-92.38
1640,4.07,-81.86,-92.7
1743,4.06,-82.05,-92.59
1870,4.02,-82.37,-92.62
1967,4.08,-82.44,-93.5
2070,4.11,-82.49,-92.86
2199,4.0,-82.82,-93.15
2295,4.1,-82.2,-92.5
2398,4.07,-81.9,-92.17
2528,3.98,-82.27,-92.86
2623,4.1,-82.2,-92.57
2856,3.96,-82.57,-93.46
2951,4.07,-82.42,-93.11
3054,4.09,-82.42,-92.62
3184,3.97,-82.24,-92.53
3279,4.07,-82.59,-93.11
3382,4.07,-82.06,-92.43
3512,3.98,-82.43,-92.46
3607,4.09,-82.39,-92.54
3710,4.07,-82.51,-93.02
3840,3.98,-82.54,-92.49
3937,4.05,-82.41,-92.66
4039,4.06,-82.55,-93.58
