timestamp,distance,rx_power,fp_power
0,3.0,-82.33,-95.86
101,2.98,-82.12,-96.91
204,3.01,-81.8,-94.91
430,3.01,-81.77,-95.64
531,3.04,-81.8,-94.87
656,3.0,-82.54,-95.61
757,3.02,-81.98,-96.95
860,3.01,-82.51,-95.81
985,3.04,-82.2,-96.06
1085,3.0,-82.05,-96.83
1187,3.01,-81.7,-96.55
1516,2.99,-81.67,-97.73
1641,3.0,-81.83,-94.5
1742,3.03,-81.69,-96.56
1969,3.02,-81.77,-94.08
2070,3.04,-81.71,-95.72
2173,2.98,-81.69,-95.16
2297,3.01,-81.53,-95.67
2501,3.02,-81.97,-94.54
2625,2.99,-81.99,-97.02
2726,2.96,-82.0,-95.13
2829,3.0,-81.91,-94.63
2952,2.99,-81.63,-95.67
3055,2.99,-81.82,-96.29
3157,2.96,-81.76,-95.89
3281,3.0,-82.44,-96.71
3382,2.97,-82.39,-97.85
3484,3.02,-82.19,-96.95
3710,2.99,-81.79,-95.13
3813,2.99,-82.14,-94.63
3938,2.97,-81.83,-95.92
4039,3.02,-81.82,-95.86
