timestamp,distance,rx_power,fp_power
0,5.06,-85.63,-93.05
141,5.06,-84.78,-92.71
226,5.07,-85.24,-92.7
470,5.08,-85.08,-92.72
554,5.1,-85.34,-93.26
799,5.07,-85.48,-92.9
882,5.08,-85.18,-92.75
984,5.06,-85.84,-92.78
1126,5.04,-85.38,-93.01
1210,5.07,-85.43,-92.6
1312,5.07,-85.82,-93.05
1454,5.05,-85.48,-93.06
1538,5.09,-85.07,-92.87
1640,5.05,-86.27,-93.22
1782,5.05,-84.86,-92.9
1866,5.1,-85.63,-93.54
1968,5.07,-85.68,-92.48
2111,5.05,-85.54,-92.8
2195,5.08,-86.06,-93.71
2296,5.04,-85.55,-92.57
2438,5.05,-85.56,-92.37
2522,5.07,-85.62,-92.91
2624,5.08,-85.14,-92.6
3096,5.06,-86.01,-93.18
3179,5.08,-84.72,-92.57
3281,5.08,-84.74,-92.46
3424,5.08,-84.92,-92.5
3507,5.06,-84.88,-92.48
3609,5.09,-86.01,-93.27
3753,5.08,-85.86,-93.56
3835,5.07,-84.96,-92.48
3937,5.1,-85.32,-92.56
4082,5.08,-84.93,-92.63
