timestamp,distance,rx_power,fp_power
0,4.05,-81.8,-91.8
101,4.04,-81.71,-91.99
328,4.06,-81.59,-91.83
532,4.05,-81.89,-91.77
658,4.04,-82.1,-91.79
759,4.05,-82.03,-91.68
861,4.02,-81.72,-91.84
986,4.02,-81.87,-91.78
1087,4.03,-82.07,-92.62
1189,4.04,-82.41,-92.07
1313,4.03,-81.83,-91.82
1415,4.05,-82.55,-92.54
1517,4.07,-81.72,-91.76
1642,4.03,-81.65,-91.62
1743,4.07,-81.94,-93.21
1846,4.05,-82.54,-92.29
1969,4.05,-82.74,-92.38
2071,4.06,-81.95,-91.78
2173,4.05,-81.86,-92.55
2297,4.05,-81.95,-93.29
2399,4.05,-81.84,-92.6
2626,4.03,-81.78,-91.81
2727,4.03,-81.78,-91.74
2828,4.03,-82.0,-91.71
2953,4.04,-81.93,-92.62
3054,4.05,-82.1,-91.95
3157,4.07,-82.05,-93.36
3282,4.04,-82.36,-92.38
3383,4.07,-82.03,-91.83
3484,4.03,-81.89,-92.2
3609,4.05,-82.34,-91.98
3710,4.04,-81.7,-91.88
3813,4.03,-81.78,-92.52
3938,4.04,-82.55,-92.27
