timestamp,distance,rx_power,fp_power
0,4.07,-81.86,-92.03
101,4.05,-81.69,-92.37
204,4.04,-82.14,-92.61
328,4.06,-82.09,-92.74
429,4.07,-82.07,-91.98
532,4.06,-82.11,-92.18
656,4.07,-81.89,-92.2
757,4.05,-81.88,-91.97
860,4.04,-81.97,-92.28
984,4.05,-82.03,-92.2
1086,4.04,-81.76,-92.19
1187,4.06,-81.67,-91.98
1312,4.07,-82.31,-93.52
1414,4.09,-81.96,-92.2
1516,4.06,-81.82,-92.04
1641,4.08,-82.11,-92.41
1742,4.08,-82.07,-92.25
1969,4.04,-81.95,-92.22
2070,4.06,-81.66,-91.81
2172,4.06,-81.73,-92.42
2296,4.07,-81.51,-91.9
2398,4.05,-82.34,-92.81
2499,4.06,-82.37,-92.6
2624,4.05,-81.99,-92.04
2725,4.06,-81.91,-91.97
2828,4.06,-82.24,-92.81
2952,4.06,-81.87,-91.99
3054,4.11,-82.23,-92.33
3155,4.07,-81.73,-92.02
3280,4.05,-82.4,-93.13
3381,4.06,-82.22,-92.2
3484,4.02,-82.16,-92.7
3608,4.09,-81.7,-91.92
3812,4.04,-81.98,-92.43
