timestamp,distance,rx_power,fp_power
0,4.43,-87.89,-93.16
101,4.39,-90.64,-114.21
204,4.57,-92.88,-111.6
330,4.75,-89.18,-103.42
430,5.31,-91.7,-97.96
533,5.59,-88.09,-101.53
658,5.41,-88.05,-111.79
759,5.03,-86.1,-95.15
860,5.56,-85.69,-93.03
986,5.12,-88.41,-93.56
1087,5.05,-84.73,-92.29
1188,4.82,-84.16,-93.28
1314,4.85,-88.05,-92.89
1415,4.8,-87.44,-91.41
1518,4.77,-87.36,-92.04
1642,4.72,-90.92,-94.28
1744,4.84,-87.92,-91.97
1845,4.7,-90.75,-102.98
1970,4.49,-89.19,-95.9
2072,4.64,-85.94,-95.97
2298,4.06,-86.94,-96.03
2400,3.95,-87.87,-95.3
2501,3.67,-84.18,-99.59
2626,3.65,-83.7,-92.67
2728,3.51,-84.26,-95.9
2830,3.6,-82.83,-97.33
2954,3.43,-83.18,-93.14
3056,3.35,-83.97,-103.51
3157,3.65,-81.89,-92.67
3284,3.33,-82.51,-92.77
3384,3.26,-83.38,-93.35
3612,3.26,-83.15,-93.75
3713,3.17,-82.38,-93.02
3814,2.83,-81.83,-95.42
