timestamp,distance,rx_power,fp_power
0,5.9,-87.54,-92.74
124,5.97,-89.55,-96.6
225,6.01,-87.37,-94.32
327,5.98,-88.26,-95.12
452,6.05,-88.31,-94.9
553,5.97,-86.56,-92.38
656,5.94,-86.47,-93.17
780,5.96,-86.63,-92.66
881,6.0,-86.15,-92.71
1108,5.88,-85.94,-93.59
1209,5.98,-88.09,-97.64
1311,5.97,-86.98,-94.62
1435,5.92,-85.83,-92.11
1536,5.84,-87.24,-93.35
1639,6.11,-87.82,-93.3
1764,5.75,-86.89,-94.15
1865,5.77,-87.96,-93.04
1966,5.56,-85.3,-97.91
2092,5.4,-84.77,-92.82
2193,4.98,-89.1,-99.09
2421,4.85,-88.42,-93.45
2522,4.9,-86.5,-92.65
2623,4.81,-83.22,-92.6
2749,4.81,-85.86,-92.02
2850,4.64,-86.94,-96.34
2952,4.49,-86.7,-95.32
3077,4.46,-84.11,-92.58
3178,4.35,-84.88,-93.11
3406,4.04,-84.93,-92.07
3507,3.84,-84.95,-92.26
3608,3.82,-81.22,-92.46
3734,3.81,-82.32,-93.35
3835,4.0,-82.9,-92.41
3936,3.96,-84.04,-92.46
4062,3.53,-84.5,-92.13
