timestamp,distance,rx_power,fp_power
0,3.91,-89.01,-92.01
126,4.54,-94.06,-105.03
454,4.87,-91.62,-101.64
556,5.03,-89.45,-108.82
658,5.1,-90.05,-99.3
781,5.46,-87.27,-94.23
882,5.22,-88.57,-96.34
1109,5.28,-87.58,-94.2
1210,5.35,-87.64,-93.05
1313,5.35,-86.37,-94.31
1437,5.11,-89.03,-96.85
1539,4.84,-90.92,-101.05
1641,5.0,-87.35,-92.48
1765,4.79,-89.02,-92.45
1867,4.79,-89.62,-94.48
1968,4.68,-90.14,-94.17
2094,4.73,-90.3,-102.29
2195,4.77,-89.81,-97.37
2751,3.92,-83.98,-91.75
2852,3.87,-85.87,-92.44
2954,4.12,-85.46,-93.09
3180,3.49,-83.73,-92.77
3407,3.42,-84.2,-96.49
3611,2.99,-85.37,-98.87
3735,3.0,-84.63,-92.58
3836,2.86,-83.68,-92.92
3938,2.89,-84.84,-93.5
4165,2.62,-84.15,-91.81
