timestamp,distance,rx_power,fp_power
0,5.25,-87.99,-101.12
83,5.81,-87.48,-97.64
207,5.55,-85.7,-93.56
329,5.19,-84.9,-98.79
411,5.44,-84.0,-101.36
536,5.34,-84.14,-97.09
658,5.22,-84.79,-101.07
864,5.53,-84.37,-91.67
986,5.3,-84.71,-92.69
1068,5.67,-86.32,-93.98
1193,5.76,-88.53,-92.1
1520,5.57,-88.1,-93.96
1644,4.76,-84.84,-92.44
1723,4.92,-86.52,-92.5
1849,4.59,-84.98,-91.71
1973,4.19,-85.79,-92.87
2052,4.4,-85.91,-96.51
2301,3.7,-83.99,-93.22
2380,3.94,-83.84,-91.63
2505,3.71,-85.76,-92.49
2629,3.15,-82.55,-92.09
2707,3.4,-83.12,-93.26
2832,3.54,-83.52,-95.77
2958,3.08,-82.16,-91.32
3161,3.41,-84.74,-94.29
3288,3.2,-83.0,-94.87
3363,3.32,-82.48,-92.73
3489,3.42,-81.8,-91.85
3615,2.52,-82.58,-92.38
3691,2.8,-81.21,-93.22
3816,2.65,-81.76,-93.66
3944,2.26,-83.3,-91.7
