timestamp,distance,rx_power,fp_power
0,4.15,-88.46,-97.82
103,4.69,-90.2,-98.19
205,4.77,-91.19,-105.87
329,4.73,-90.11,-104.73
430,4.87,-89.17,-109.79
532,4.87,-90.95,-98.91
657,4.98,-89.08,-97.83
758,5.12,-89.8,-94.87
985,5.31,-85.61,-92.39
1188,5.3,-84.79,-92.55
1313,5.1,-86.24,-91.84
1414,4.87,-84.58,-91.38
1517,4.63,-86.18,-92.2
1742,4.56,-89.44,-97.72
1844,5.01,-88.93,-93.01
1969,4.67,-86.56,-91.92
2071,4.55,-86.83,-92.25
2297,4.21,-85.98,-92.53
2398,4.09,-85.88,-93.19
2501,4.22,-85.48,-92.24
2625,3.87,-86.81,-92.98
2726,3.68,-83.9,-93.23
2828,3.72,-84.01,-93.84
2953,3.59,-84.58,-92.54
3055,3.52,-82.23,-92.51
3157,3.46,-84.33,-92.62
3282,3.44,-84.66,-92.15
3384,3.49,-83.74,-91.47
3486,3.57,-86.63,-92.7
3612,3.48,-84.11,-92.25
3712,3.32,-83.53,-92.99
3814,3.08,-83.23,-92.5
3938,3.04,-82.46,-92.86
