timestamp,distance,rx_power,fp_power
0,5.94,-91.71,-105.99
238,6.02,-89.56,-95.05
327,5.9,-91.01,-99.57
428,5.93,-89.43,-97.18
567,5.8,-88.53,-94.68
654,5.95,-89.75,-95.67
757,5.95,-88.49,-96.34
895,5.71,-89.76,-97.61
982,5.98,-89.18,-95.47
1085,5.95,-87.22,-94.28
1223,6.01,-88.14,-92.76
1312,6.31,-89.09,-92.87
1415,6.22,-88.17,-93.39
1553,5.63,-88.71,-95.01
1640,5.72,-86.18,-91.81
1741,5.63,-86.21,-92.25
1881,5.15,-85.12,-91.84
1967,5.32,-85.83,-93.14
2069,5.09,-86.27,-92.95
2210,4.91,-85.73,-92.21
2295,4.57,-86.09,-110.4
2537,4.43,-87.67,-96.87
2624,4.49,-84.54,-91.67
2727,4.15,-84.56,-95.42
2865,3.89,-84.1,-95.39
2952,3.93,-85.69,-97.86
3055,3.71,-81.94,-97.32
3193,3.21,-81.93,-95.64
3281,3.59,-82.39,-94.26
3382,3.91,-82.31,-93.16
3522,3.35,-82.97,-92.65
3609,3.83,-83.59,-92.31
3712,3.56,-81.67,-92.3
3850,3.08,-81.29,-92.29
3937,3.2,-81.56,-92.89
