timestamp,distance,rx_power,fp_power
0,4.42,-89.56,-93.39
101,4.21,-90.39,-103.39
220,4.97,-90.7,-96.31
328,5.25,-89.55,-97.96
429,5.67,-91.45,-98.52
549,5.62,-89.75,-103.93
656,5.0,-89.08,-93.82
757,5.06,-86.18,-94.17
877,5.3,-86.65,-96.97
984,5.06,-88.09,-100.71
1085,4.98,-86.93,-102.73
1314,5.25,-83.71,-91.58
1414,4.91,-83.81,-91.77
1534,4.94,-86.6,-93.04
1640,4.78,-85.39,-92.62
1741,4.89,-88.51,-92.73
1863,4.59,-86.11,-93.03
1967,4.49,-86.6,-93.02
2069,4.52,-86.02,-92.53
2191,4.46,-85.53,-93.68
2295,4.28,-86.85,-91.97
2397,4.16,-85.68,-92.13
2519,4.01,-85.57,-91.44
2623,3.76,-84.64,-91.8
2725,3.72,-84.18,-91.94
2847,3.61,-83.44,-92.8
2951,3.59,-84.35,-92.56
3053,3.46,-83.35,-92.29
3175,3.29,-82.79,-92.51
3280,3.21,-83.94,-92.29
3381,3.19,-85.01,-93.95
3608,3.04,-82.86,-92.64
3709,3.3,-84.04,-92.56
3831,2.81,-82.79,-92.36
3935,2.67,-80.21,-92.65
4037,2.51,-80.24,-91.78
