timestamp,distance,rx_power,fp_power
0,3.9,-84.18,-93.46
125,4.48,-88.56,-95.5
453,4.98,-89.05,-95.72
554,4.89,-88.98,-103.42
657,5.4,-88.48,-96.91
781,5.45,-88.29,-97.08
882,5.42,-86.88,-95.03
984,5.18,-86.5,-95.48
1108,4.89,-86.01,-101.09
1211,5.04,-85.24,-92.33
1312,4.84,-84.33,-92.82
1436,4.74,-86.8,-91.39
1765,4.6,-88.47,-93.25
1866,4.66,-88.68,-92.66
1967,4.61,-89.3,-93.26
2093,4.74,-89.62,-98.73
2193,4.24,-88.7,-109.84
2296,4.03,-87.16,-98.65
2420,3.84,-85.57,-95.89
2521,3.77,-84.8,-94.1
2623,3.68,-84.47,-93.12
2749,3.47,-84.33,-100.56
2850,3.79,-83.66,-98.71
2952,3.4,-84.11,-93.05
3077,3.31,-83.59,-94.01
3179,3.47,-86.35,-99.86
3506,3.32,-82.92,-92.46
3609,2.96,-81.56,-92.07
3733,2.88,-81.26,-91.5
3833,2.76,-82.63,-91.84
4060,2.49,-81.26,-92.15
