timestamp,distance,rx_power,fp_power
0,4.3,-86.87,-96.63
227,5.1,-90.98,-95.78
328,4.8,-89.59,-98.0
430,4.83,-90.2,-105.9
555,4.7,-88.61,-102.33
656,4.75,-88.52,-102.33
757,5.27,-88.8,-95.65
884,5.05,-86.9,-98.11
984,4.99,-89.2,-100.88
1085,4.95,-86.66,-94.69
1211,4.94,-85.92,-93.2
1312,4.81,-85.08,-92.14
1413,4.75,-85.52,-91.46
1540,4.81,-87.69,-93.23
1641,4.88,-87.52,-92.31
1742,4.68,-89.29,-93.92
1868,4.72,-89.22,-95.22
1969,4.67,-89.27,-103.1
2072,4.61,-89.59,-96.13
2197,4.95,-88.04,-94.82
2298,4.43,-88.06,-92.87
2525,4.08,-84.4,-92.24
2626,3.86,-83.39,-91.83
2727,3.72,-83.22,-92.35
2853,3.57,-82.92,-92.25
2954,3.52,-83.32,-92.02
3055,3.49,-84.75,-93.28
3181,3.44,-83.22,-92.28
3282,3.38,-82.86,-91.74
3384,3.38,-82.83,-92.97
3508,3.33,-81.96,-93.62
3609,3.18,-84.74,-99.06
3712,3.51,-84.26,-97.94
3837,2.92,-82.08,-93.62
3938,2.88,-81.8,-92.43
