timestamp,distance,rx_power,fp_power
0,5.52,-86.59,-93.49
102,5.63,-86.45,-92.01
227,5.85,-86.48,-96.27
328,5.41,-85.17,-97.57
430,5.27,-85.38,-97.02
555,5.31,-85.19,-96.8
656,5.29,-86.24,-97.06
758,5.27,-85.88,-96.87
883,5.62,-85.96,-100.91
984,5.73,-86.23,-98.43
1086,5.27,-85.7,-98.29
1211,5.29,-88.24,-100.22
1312,5.27,-86.94,-98.55
1415,5.34,-88.02,-94.81
1539,5.35,-84.62,-92.96
1640,5.31,-89.11,-103.04
1867,5.0,-86.85,-92.61
1968,4.81,-87.13,-92.8
2194,4.49,-87.06,-93.47
2296,4.44,-85.72,-93.7
2398,4.23,-84.62,-98.27
2523,4.12,-86.93,-96.23
2625,4.1,-85.24,-92.17
2727,3.88,-82.34,-92.06
2850,3.7,-82.88,-93.65
2952,3.53,-84.1,-93.37
3054,3.45,-86.2,-96.48
3179,3.38,-82.47,-93.75
3280,3.27,-81.23,-91.49
3382,3.16,-81.34,-91.56
3507,3.17,-83.12,-93.04
3609,3.08,-82.8,-92.6
3711,3.23,-82.29,-92.58
3834,2.86,-82.58,-94.51
3936,2.77,-81.15,-93.0
4163,2.51,-81.36,-92.76
