timestamp,distance,rx_power,fp_power
0,4.08,-91.25,-95.45
124,4.23,-94.65,-100.25
204,4.89,-93.5,-98.4
329,4.99,-92.67,-98.28
453,5.06,-91.27,-95.93
531,5.3,-88.45,-93.09
656,5.33,-89.27,-92.75
783,5.23,-89.65,-97.22
860,5.21,-88.46,-94.77
984,5.24,-89.59,-94.95
1111,5.38,-89.49,-98.22
1188,4.74,-88.63,-101.09
1313,5.29,-88.61,-93.29
1440,4.89,-87.88,-91.48
1768,4.66,-88.53,-95.09
1844,4.71,-89.23,-98.14
1968,4.5,-85.83,-92.32
2069,4.54,-86.53,-93.85
2297,3.94,-86.28,-91.66
2399,3.92,-83.64,-92.03
2500,3.73,-85.36,-94.67
2626,3.56,-82.77,-92.32
2727,3.43,-83.59,-92.46
2829,3.35,-83.6,-94.38
2953,3.17,-85.1,-93.4
3054,3.1,-84.68,-92.7
3157,2.98,-84.22,-92.76
3281,2.89,-83.45,-92.39
3382,2.8,-83.22,-91.96
3484,2.68,-81.96,-92.61
3609,2.6,-84.09,-91.89
3710,2.5,-83.95,-91.37
3812,2.51,-84.25,-91.62
3937,2.44,-82.75,-91.82
