timestamp,distance,rx_power,fp_power
0,5.86,-88.38,-92.46
101,5.86,-87.54,-92.5
218,5.75,-88.15,-93.05
327,5.88,-86.44,-92.67
429,5.92,-87.52,-92.81
656,5.94,-86.16,-91.84
758,5.88,-85.31,-91.98
876,5.64,-85.82,-92.69
984,5.91,-85.59,-93.56
1086,5.88,-85.71,-92.43
1204,5.63,-86.25,-91.49
1313,5.86,-86.81,-92.79
1414,5.9,-86.08,-92.11
1532,5.63,-85.6,-92.0
1640,5.86,-88.16,-92.52
1742,5.96,-88.11,-93.19
1860,5.81,-88.22,-93.56
1968,6.36,-88.64,-92.07
2070,5.82,-89.3,-100.19
2189,5.67,-88.99,-92.37
2296,5.86,-91.2,-97.84
2398,5.51,-91.04,-101.31
2516,5.41,-88.83,-97.82
2625,5.71,-88.1,-92.32
2726,5.44,-85.34,-92.33
2954,5.0,-82.97,-91.6
3054,4.86,-82.64,-92.75
3172,4.64,-85.28,-93.6
3281,4.87,-82.34,-93.1
3382,4.66,-82.52,-93.46
3501,4.17,-81.58,-92.52
3608,4.35,-82.94,-92.99
3710,4.3,-82.18,-92.53
3830,4.0,-81.99,-91.87
3937,4.2,-81.76,-92.53
