timestamp,distance,rx_power,fp_power
0,2.02,-79.42,-92.5
226,2.06,-80.15,-91.88
328,1.98,-80.69,-91.29
429,2.05,-80.02,-91.14
554,2.01,-81.04,-92.37
655,2.0,-81.09,-92.17
883,1.98,-81.99,-92.35
984,1.97,-81.55,-92.25
1085,1.93,-80.6,-92.28
1210,1.97,-80.37,-92.4
1312,1.92,-80.23,-91.72
1413,2.1,-80.08,-91.91
1538,2.04,-81.29,-91.36
1640,1.98,-81.58,-92.24
1741,1.99,-81.25,-91.74
1866,2.03,-80.79,-91.57
1968,1.96,-81.48,-92.99
2070,1.98,-81.45,-91.83
2193,1.97,-81.67,-92.55
2295,1.97,-81.37,-92.97
2522,2.05,-80.84,-91.46
2624,1.98,-81.01,-92.21
2725,1.86,-81.79,-95.77
2850,1.93,-80.79,-93.28
2951,2.15,-80.57,-92.7
3053,2.2,-80.49,-92.14
3178,2.21,-80.18,-92.25
3280,2.24,-80.61,-93.07
3382,2.24,-80.35,-91.84
3505,2.27,-80.42,-93.05
3608,2.27,-80.12,-91.17
3709,2.2,-80.36,-91.46
3935,2.21,-80.31,-91.88
