timestamp,distance,rx_power,fp_power
0,1.9,-81.51,-92.29
95,2.17,-81.22,-92.67
328,2.23,-81.15,-92.83
423,2.81,-83.25,-93.02
657,2.6,-82.56,-98.38
751,2.81,-83.88,-93.21
852,2.85,-84.74,-93.25
986,2.5,-84.93,-92.14
1078,2.73,-85.8,-92.29
1406,3.09,-85.43,-92.6
1509,3.18,-85.28,-93.26
1643,3.2,-84.24,-92.46
1735,3.31,-87.51,-94.52
1836,3.53,-88.74,-94.11
1972,3.23,-89.49,-104.23
2063,3.65,-91.8,-102.09
2164,3.65,-91.57,-101.54
2300,3.78,-90.47,-104.51
2391,4.57,-90.08,-95.24
2628,3.62,-90.98,-110.18
2719,4.22,-90.31,-95.46
2820,4.41,-90.13,-100.37
2956,3.98,-90.35,-99.87
3047,4.15,-90.07,-102.13
3148,3.86,-91.26,-109.64
3284,3.81,-91.92,-99.39
3375,3.69,-91.14,-100.78
3476,3.7,-91.86,-103.48
3612,3.88,-90.09,-101.51
3804,3.87,-91.8,-100.26
3940,3.35,-89.57,-96.02
