timestamp,distance,rx_power,fp_power
0,3.55,-84.87,-92.43
103,3.81,-86.17,-98.34
250,4.06,-83.53,-91.82
328,3.87,-85.58,-92.58
431,4.26,-87.28,-102.34
579,4.14,-84.86,-92.47
657,4.15,-88.13,-97.78
906,4.06,-88.12,-92.63
984,4.03,-88.33,-93.48
1235,3.69,-86.43,-94.94
1312,3.8,-86.72,-93.19
1415,3.82,-86.29,-92.44
1563,3.9,-84.12,-92.6
1640,3.82,-84.52,-99.45
1743,3.39,-86.84,-102.2
1892,3.41,-85.61,-100.63
1969,3.31,-84.43,-99.67
2073,3.38,-84.73,-95.7
2221,3.39,-86.65,-94.0
2297,3.32,-86.09,-99.06
2399,3.3,-85.0,-98.48
2550,3.18,-84.6,-95.54
2625,3.53,-82.36,-93.56
2727,3.48,-84.5,-94.55
2878,3.52,-83.67,-104.16
2953,3.55,-82.81,-94.32
3206,2.9,-81.93,-94.3
3280,2.74,-80.65,-92.57
3383,2.59,-80.82,-92.17
3507,2.56,-81.3,-91.45
3609,2.54,-81.21,-92.38
3711,2.49,-80.66,-91.9
3836,2.41,-82.9,-92.34
3937,2.35,-81.79,-92.68
4038,2.28,-80.89,-91.87
