timestamp,distance,rx_power,fp_power
0,2.04,-80.3,-95.11
101,2.13,-80.27,-92.58
202,1.87,-79.67,-92.84
328,2.0,-80.03,-93.07
429,2.02,-80.63,-93.02
530,1.9,-79.5,-91.54
656,1.91,-80.65,-93.95
757,1.96,-79.5,-92.71
858,1.96,-80.86,-92.85
984,2.06,-79.9,-96.36
1085,2.21,-81.57,-97.18
1187,2.44,-80.74,-92.64
1312,2.32,-81.45,-96.15
1413,2.38,-79.76,-92.12
1514,2.48,-79.66,-92.87
1640,2.18,-80.98,-96.61
1741,2.29,-80.43,-91.72
1968,2.23,-80.77,-96.41
2171,2.05,-81.5,-94.57
2296,1.98,-82.41,-96.48
2397,2.52,-81.13,-94.38
2498,2.44,-82.42,-93.44
2624,2.3,-81.66,-91.48
2828,2.1,-80.56,-93.15
2953,2.04,-80.73,-92.39
3054,1.94,-81.65,-93.22
3155,1.98,-80.88,-92.18
3281,1.95,-80.96,-91.74
3381,1.92,-81.35,-91.72
3484,1.86,-80.42,-91.64
3609,1.84,-80.83,-91.6
3710,1.7,-80.95,-91.92
3812,1.65,-80.2,-92.04
3936,1.68,-81.43,-92.95
