timestamp,distance,rx_power,fp_power
0,1.52,-82.28,-92.02
125,1.54,-82.44,-92.77
234,1.52,-82.56,-92.11
329,1.46,-82.03,-92.2
454,1.47,-81.86,-92.73
782,1.47,-83.04,-92.37
892,1.52,-82.02,-92.24
985,1.52,-81.92,-92.97
1110,1.45,-83.35,-92.58
1221,1.45,-84.77,-93.9
1313,1.37,-86.27,-99.69
1437,1.76,-86.09,-92.56
1550,1.6,-87.13,-93.61
1641,1.51,-86.38,-92.77
1765,1.51,-85.49,-91.92
1878,1.48,-85.6,-91.56
2094,1.48,-85.56,-92.2
2207,1.49,-85.01,-91.47
2296,1.48,-85.42,-92.9
2421,1.49,-85.48,-92.46
2536,1.5,-85.44,-92.46
2625,1.48,-85.05,-92.08
2749,1.48,-85.39,-92.39
2863,1.49,-84.91,-91.63
3192,1.59,-80.94,-91.67
3282,1.52,-82.0,-92.33
3406,1.57,-82.28,-93.4
3520,1.54,-82.55,-92.17
3609,1.52,-82.21,-92.11
3734,1.53,-82.04,-92.29
3848,1.57,-82.3,-92.21
