timestamp,distance,rx_power,fp_power
0,1.26,-81.22,-92.57
89,1.07,-81.15,-98.49
192,1.11,-81.29,-96.34
328,1.07,-80.87,-97.41
417,1.44,-81.75,-97.94
519,1.25,-80.5,-92.63
656,1.07,-81.4,-102.91
745,1.08,-81.12,-96.63
847,1.05,-81.23,-98.3
985,1.4,-81.41,-98.56
1073,1.62,-81.42,-93.25
1313,1.67,-81.7,-94.05
1401,1.57,-82.51,-94.48
1640,1.62,-82.66,-93.86
1730,1.6,-82.51,-93.4
1831,1.58,-82.65,-94.53
1969,1.62,-82.79,-93.61
2297,1.57,-82.46,-93.8
2385,1.62,-82.59,-94.63
2714,1.12,-82.07,-97.1
2953,1.07,-81.96,-97.51
3043,1.09,-81.69,-97.02
3145,1.1,-82.27,-97.24
3281,1.09,-81.57,-98.59
3370,1.42,-81.35,-101.25
3471,1.04,-81.07,-102.18
3609,1.47,-81.29,-97.12
3698,1.07,-81.38,-98.9
3937,1.08,-81.54,-99.35
