timestamp,distance,rx_power,fp_power
0,1.53,-88.04,-96.26
101,1.6,-87.68,-98.41
202,1.16,-89.22,-106.28
328,1.36,-86.46,-97.02
429,1.51,-86.94,-95.69
531,1.6,-88.05,-94.07
655,1.66,-87.72,-94.07
860,1.66,-86.7,-92.0
983,1.23,-87.94,-104.2
1085,2.0,-89.07,-98.95
1187,1.45,-88.76,-102.97
1313,1.36,-89.04,-105.68
1413,1.7,-89.49,-105.55
1514,2.02,-89.57,-96.49
1640,1.84,-88.55,-96.32
1741,1.92,-88.34,-95.03
1967,1.85,-89.1,-96.65
2068,1.83,-90.44,-97.93
2171,1.91,-87.52,-97.45
2295,1.98,-87.91,-96.83
2397,1.83,-91.32,-104.36
2498,2.25,-87.01,-98.54
2624,2.39,-89.06,-98.7
2725,1.56,-89.24,-101.37
2826,1.76,-85.79,-99.95
2952,1.53,-88.45,-100.6
3053,1.67,-86.47,-97.76
3156,1.61,-88.55,-95.94
3280,1.69,-84.93,-97.13
3381,1.67,-86.76,-93.15
3482,1.67,-85.79,-92.52
3607,1.7,-87.21,-94.1
3708,1.7,-85.06,-94.36
3811,1.62,-87.13,-93.77
3936,1.56,-87.86,-92.83
4038,1.6,-86.15,-92.32
