timestamp,distance,rx_power,fp_power
0,2.66,-80.17,-95.27
103,2.9,-80.72,-92.32
227,2.66,-80.34,-92.17
328,2.63,-81.58,-99.01
431,3.06,-81.76,-92.62
556,3.08,-82.96,-92.94
657,2.97,-86.02,-94.22
758,3.16,-84.43,-95.14
884,3.42,-85.5,-92.21
985,3.62,-85.41,-96.49
1086,3.86,-85.49,-101.53
1212,3.83,-89.94,-103.91
1313,4.09,-88.15,-106.72
1414,3.86,-89.05,-102.31
1542,3.76,-85.87,-92.49
1641,3.6,-85.67,-92.59
1743,3.48,-85.64,-93.15
1870,3.35,-83.19,-92.07
1969,3.4,-82.9,-92.79
2198,3.1,-81.91,-92.36
2297,3.09,-81.45,-91.63
2400,2.94,-81.19,-91.96
2527,2.76,-83.26,-92.65
2626,2.81,-80.98,-91.9
2728,2.66,-80.24,-92.55
2854,2.6,-81.76,-91.8
2953,2.75,-80.64,-94.01
3056,2.66,-80.98,-94.01
3182,2.44,-81.52,-92.11
3282,2.4,-81.19,-92.69
3383,2.42,-80.92,-91.37
3511,2.36,-80.21,-92.09
3610,2.4,-81.68,-92.56
3711,2.64,-80.74,-95.57
3839,2.54,-81.15,-92.07
3938,2.33,-81.43,-93.85
