timestamp,distance,rx_power,fp_power
0,2.0,-81.66,-93.62
94,2.24,-81.91,-93.72
195,2.0,-82.53,-100.75
328,2.26,-79.07,-92.39
421,2.06,-80.14,-92.98
656,2.32,-82.67,-93.12
749,2.53,-83.14,-96.16
852,2.89,-82.73,-105.37
984,2.51,-80.93,-92.19
1077,2.79,-82.51,-94.54
1180,2.77,-83.53,-101.56
1312,2.94,-82.8,-93.56
1406,3.3,-84.22,-92.27
1507,3.42,-84.59,-92.48
1642,3.32,-83.33,-92.15
1733,3.3,-83.82,-92.3
1836,3.75,-85.5,-92.75
1971,3.35,-85.08,-97.6
2062,3.62,-86.35,-101.27
2164,3.7,-86.71,-93.48
2300,3.5,-88.93,-106.77
2390,3.75,-87.33,-98.68
2491,3.63,-86.07,-92.32
2629,3.7,-85.21,-93.06
2957,3.7,-82.84,-92.26
3046,3.85,-85.87,-91.61
3149,3.94,-88.43,-93.43
3286,3.88,-87.25,-92.71
3375,4.0,-88.12,-94.04
3476,4.13,-90.66,-95.28
3613,4.17,-94.14,-111.48
3702,4.48,-95.79,-106.01
3805,4.97,-93.08,-102.0
3942,5.05,-92.21,-112.96
