timestamp,distance,rx_power,fp_power
0,1.49,-81.81,-91.87
89,1.47,-81.79,-92.43
214,1.46,-82.22,-92.89
417,1.49,-82.24,-92.5
542,1.46,-82.73,-92.73
656,1.32,-82.7,-92.14
869,1.35,-82.99,-94.89
984,1.36,-83.55,-99.88
1072,1.3,-83.3,-98.94
1312,1.47,-83.51,-95.79
1400,1.51,-84.01,-95.52
1527,1.46,-83.91,-94.2
1640,1.5,-83.78,-94.4
1968,1.52,-83.31,-93.97
2057,1.49,-82.17,-92.01
2387,1.5,-81.98,-92.24
2511,1.55,-81.9,-93.19
2715,1.54,-81.99,-92.79
2839,1.55,-82.43,-93.2
2953,1.56,-81.73,-92.45
3167,1.52,-81.57,-93.05
3371,1.6,-81.81,-92.89
3496,1.57,-81.79,-91.92
3611,1.55,-81.75,-93.12
3700,1.56,-81.87,-92.56
3825,1.51,-81.49,-92.12
3939,1.54,-81.48,-92.36
