timestamp,distance,rx_power,fp_power
0,1.62,-80.61,-95.04
75,1.96,-80.62,-94.96
176,1.94,-80.81,-94.06
328,1.66,-81.06,-93.75
403,2.02,-80.95,-94.03
504,2.0,-80.53,-93.12
656,1.7,-80.55,-93.72
731,2.03,-80.76,-92.51
834,2.06,-80.42,-92.12
984,1.73,-80.01,-92.06
1060,2.0,-79.67,-92.11
1161,1.92,-80.34,-94.18
1286,2.07,-80.13,-92.69
1387,2.36,-80.57,-91.56
1614,2.03,-80.16,-91.8
1715,2.05,-80.08,-91.72
1818,2.05,-79.87,-92.51
1942,2.02,-80.0,-91.81
2043,2.05,-80.07,-92.71
2146,2.05,-79.86,-92.5
2270,2.09,-80.01,-91.62
2371,2.07,-79.82,-92.2
2474,2.07,-80.11,-92.34
2598,2.13,-80.39,-92.75
2699,2.1,-81.01,-92.49
2802,2.25,-80.96,-91.29
2954,1.4,-81.63,-94.05
3028,1.92,-80.19,-92.13
3284,1.49,-80.14,-91.78
3359,1.83,-80.36,-92.24
3461,1.85,-80.03,-91.82
3585,1.8,-81.11,-91.94
3686,1.78,-81.25,-91.41
3914,1.79,-81.22,-91.97
4015,1.8,-81.28,-91.29
