timestamp,distance,rx_power,fp_power
0,1.27,-81.63,-91.65
89,1.61,-81.36,-91.58
192,1.05,-81.41,-96.65
328,1.26,-81.33,-91.65
417,1.07,-81.53,-98.46
520,1.06,-81.76,-96.62
656,1.07,-81.63,-98.03
745,1.09,-81.31,-97.36
848,1.46,-81.17,-96.77
984,1.28,-81.6,-92.99
1074,1.52,-80.75,-92.83
1313,1.8,-81.86,-102.03
1402,1.61,-82.2,-95.45
1503,1.66,-81.96,-94.52
1641,1.61,-81.83,-93.88
1730,1.63,-81.74,-93.7
1832,1.65,-81.59,-93.24
1969,1.65,-81.41,-93.47
2058,1.65,-81.34,-93.14
2159,1.64,-81.42,-93.41
2296,1.64,-81.77,-94.24
2385,1.66,-81.81,-94.15
2488,1.66,-81.58,-93.53
2624,1.66,-81.53,-93.94
2713,1.67,-81.49,-93.46
2816,1.64,-81.66,-93.35
2953,1.65,-81.37,-93.42
3042,1.59,-81.97,-94.81
3145,1.6,-82.01,-97.03
3280,1.92,-80.51,-93.43
3369,1.27,-81.55,-93.13
3608,1.42,-81.01,-92.4
3697,1.26,-80.83,-92.22
3800,1.83,-81.75,-92.49
3936,1.41,-81.13,-97.35
4026,1.42,-81.09,-92.35
